"FIPS","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
36061,1531067,1535624,1336713,1337086,1339572,1339761,1337964,1332318,1324905,1322048,1325129,1332088,1339532,1346815,1350748
36063,221884,220556,1540547,1555729,1555382,1562154,1569947,1573573,1578171,1581402,1587022,1583431,1585873,1609533,1625121
36065,235710,235412,219620,218552,218127,218072,217737,216818,216148,215791,215793,216043,216469,215729,214841
36067,459882,458575,235146,234247,234078,234243,234654,234282,234229,234488,234482,234619,234878,234292,234061
36069,99603,99802,458034,458576,459484,460961,461412,460910,460925,461287,463472,465633,467026,467913,467712
36071,332199,336630,100106,100819,101763,102625,103385,104259,104644,105216,106302,107214,107931,108750,108801
36073,44167,44183,342892,347674,352975,358727,362934,364522,366908,368464,370201,372079,372813,374358,374100
36075,122153,122199,44178,43898,43660,43593,43682,43475,43420,43342,43254,42975,42883,42693,42465
36077,61379,61629,122477,122269,122496,123120,123340,122640,122354,122213,122366,122055,122109,121999,121551
36079,93301,94647,61860,61924,62093,62567,62934,63069,63032,62914,62561,62280,62259,61982,61805
36081,2174983,2208975,96049,97055,98263,98964,99468,99575,99357,99454,99537,99666,99710,99958,99717
36083,153085,152392,2230501,2231316,2224507,2214608,2198516,2185222,2173862,2177351,2193623,2217166,2230722,2259756,2278024
36085,428952,437814,152684,152700,153040,154201,155523,156104,157312,158243,159011,159150,159429,159694,159669
36087,282044,285265,445235,448961,452813,455939,456846,457028,457577,459642,463701,466965,468730,471152,470978
36089,112261,112202,287720,290613,293728,296224,297562,298737,299390,301668,305413,308652,311687,315772,317763
36091,196513,198641,111864,111497,111292,111329,111468,111606,111556,111586,111684,112169,111944,112468,112621
36093,147738,146857,201514,203974,206446,209410,211478,212975,214627,215798,217282,218652,219607,221166,222553
36095,31279,31537,146581,146334,147199,147891,148900,150200,151768,152275,153360,154050,154727,154673,154945
36097,19143,19117,31514,31794,31785,32032,32310,32534,32661,32894,32890,32776,32749,32662,32086
36099,33184,33231,19232,19175,19179,19151,19034,18880,18752,18707,18644,18398,18343,18492,18579
36101,98657,98458,33343,34764,35046,35212,35312,35177,35223,35469,35370,35286,35251,35353,35380
36103,1390729,1406161,98764,99216,99583,99191,98983,98868,98473,98541,98726,98949,98990,99272,99064
36105,72974,73341,1424081,1442488,1456745,1470849,1478215,1477687,1475626,1475255,1480218,1487206,1493350,1500259,1499382
36107,52163,51892,74134,74143,74452,75447,76265,76780,77231,77991,77755,77647,77547,77104,76952
36109,96036,96656,51838,51712,51992,51895,51631,51611,51536,51565,51498,51236,51125,50945,50303
